bne.n,cmp,vcvt.f64.s32,movs,str,mov.w,adds,mov,sub.w,lsrs,vmul.f64
adds,vadd.f64,vadd.f64,vsub.f64,ldr,mla,cmp,mov,add.w,uxth,vstmia
pop,bne.n,vdiv.f64,vcmp.f64,str,ldr.w,vcvt.f64.s32,bge.n,vldr,lsrs,cmp
subs,vldmdb,vsub.f64,vmrs,str,lsrs,vmul.f64,adds,vmla.f64,mla,vmul.f64
mov,cmp,vadd.f64,vcmp.f64,str,uxth,vdiv.f64,mov,add.w,mla,bne.n
cmp,vadd.f64,vsub.f64,ite,bl,add.w,vadd.f64,adc.w,vmov,pop,vldmia
bne.n,bne.n,vadd.f64,movne,push,mla,beq.n,cmp,vldr,str,vmul.f64
adds,vldmdb,vsub.f64,vmrs,cmp,lsrs,vsub.f64,sbcs.w,vldr,add.w,vmul.f64
pop,cmp,vadd.f64,bne.w,sub,uxth,vabs.f64,mov,vmov,str,vstmia
subs,vadd.f64,vsub.f64,cmp,ldrh.w,mov.w,vcmpe.f64,mov,vcvt.f64.s32,bx,cmp
mov,bne.n,beq.n,bne.w,ldrb.w,mov.w,vmov.f64,mov,vcmpe.f64,vmov.f32,vmul.f64
cmp,vldmdb,vsub.f64,vsub.f64,bgt.n,mla,vmrs,bge.n,vmrs,vadd.f32,bne.n
bne.n,cmp,vabs.f64,vcmp.f64,ldr,mov.w,bgt.n,adds,ubfx,vdiv.f32,vldmia
adds,vadd.f64,vcmpe.f64,vmrs,subs,mov,vmov,mov,sub.w,mul.w,vmul.f64
pop,bne.n,vmov.f64,vcmp.f64,str,add.w,adds,adc.w,vmov,bl,vmul.f64
subs,vldmdb,vmrs,ite,ldr,orr.w,cmp,cmp,add.w,movw,vstmia
mov,cmp,bgt.n,movne,str,ldr,vcvt.f64.s32,sbcs.w,add.w,movt,cmp
cmp,vadd.f64,vmov,vmrs,ldr,strb,vmul.f64,mov,vldr,push,vmul.f64
bne.n,bne.n,adds,bne.n,str,lsrs,vdiv.f64,mov,vstr,movw,bne.n
adds,vldmdb,adds,cmp,ldr,orr.w,vadd.f64,mov,vcvt.f64.s32,ldmia.w,vldmia
pop,cmp,vmov,bne.n,str,strb.w,beq.n,bge.n,vldr,movw,vmul.f64
subs,vadd.f64,adds,cmp,ldr,ldr.w,vsub.f64,adds,vldr,uxth,vmul.f64
mov,bne.n,vmov,bne.n,str,mov,vabs.f64,mov,vldr,lsrs,vstmia
cmp,vldr,adds,vsub.f64,str,lsrs,vcmpe.f64,adc.w,vmla.f64,uxth,cmp
bne.n,vsub.f64,vmov,vcmp.f64,str,orr.w,vmov.f64,cmp,vldr,lsrs,vmul.f64
adds,vldr,adds,vmrs,bl,strb.w,vmrs,sbcs.w,vmov.f64,mla,bne.n
pop,vmov,vcvt.f64.s32,bne.n,push,lsrs,bgt.n,mov,vmov.f64,mla,ldr
subs,ldr,vmov,vcmp.f64,cmp,ldr.w,vmov,mov,vmla.f64,pop,add.w
mov,movw,adds,vmrs,sub,orr.w,adds,mov,vmul.f64,str,mov
cmp,movt,vmov,bne.n,ldrh.w,ldr,cmp,bge.n,vmul.f64,add.w,vldr
bne.n,ldr,mov,vsub.f64,ldrb.w,strb,vcvt.f64.s32,adds,vsub.f64,str,add
adds,add,vmov,vcmp.f64,bgt.n,lsrs,vmul.f64,mov,vmul.f64,bx,vldr
pop,vldr,adds,vmrs,ldr,orr.w,vdiv.f64,adc.w,vmla.f64,eor.w,vldr
subs,add,adds,bne.n,subs,strb.w,vadd.f64,cmp,vmul.f64,bl,vadd.f64
