subs,vadd.f64,vadd.f64,blx,ldr,mla,cmp,adds,vmrs,movw
mov,vadd.f64,vsub.f64,add,str,lsrs,vcvt.f64.s32,mov,it,ldmia.w
cmp,vadd.f64,beq.n,add,ldr,uxth,vmul.f64,adc.w,bmi.n,movw
bne.n,vadd.f64,vsub.f64,ldr,str,mov.w,vdiv.f64,cmp,vmovmi.f64,uxth
adds,vsub.f64,vabs.f64,push,ldr,mov.w,vadd.f64,sbcs.w,vcmpe.f64,lsrs
pop,vsub.f64,vcmpe.f64,vpush,str,mla,beq.n,mov,ldr,uxth
subs,vadd.f64,vmov.f64,sub,str,mov.w,vsub.f64,mov,add,lsrs
mov,vsub.f64,vmrs,vmov.f64,str,mov,vabs.f64,mov,vldr,mla
cmp,vldmia,bgt.n,vmov.f64,bl,add.w,vcmpe.f64,bge.n,ldr,mla
bne.n,vmul.f64,vmov,blx,push,orr.w,vmov.f64,adds,vmrs,pop
adds,vmul.f64,adds,add,cmp,ldr,vmrs,mov,it,str
pop,vstmia,adds,add,sub,strb,bgt.n,adc.w,vsubgt.f64,add.w
subs,cmp,vmov,ldr,ldrh.w,lsrs,vmov,cmp,add,str
mov,vmul.f64,adds,vmov,ldrb.w,orr.w,adds,sbcs.w,vldr,bx
cmp,bne.n,vmov,and.w,bgt.n,strb.w,cmp,mov,it,vadd.f32
bne.n,vldmia,adds,bx,ldr,ldr.w,vcvt.f64.s32,mov,vadd.f64,umull
adds,vmul.f64,vmov,vmov.f64,subs,mov,vmul.f64,mov,vldrle,subs
pop,vmul.f64,adds,mov,str,lsrs,vdiv.f64,bge.n,vadd.f64,add.w
subs,vstmia,vcvt.f64.s32,bl,ldr,orr.w,vadd.f64,adds,vadd.f64,lsrs
mov,cmp,vmov,vmov,str,strb.w,beq.n,mov,vadd.f64,orr.w
cmp,vmul.f64,adds,push,ldr,lsrs,vsub.f64,adc.w,vmla.f64,rsb
bne.n,bne.n,vmov,movs,str,ldr.w,vabs.f64,cmp,vadd.f64,umull
adds,vldmia,mov,movt,ldr,orr.w,vcmpe.f64,sbcs.w,vadd.f64,blx
pop,vmul.f64,vmov,bic.w,str,ldr,vmov.f64,mov,vsub.f64,add
subs,vmul.f64,adds,ubfx,ldr,strb,vmrs,mov,vadd.f64,add
mov,vstmia,adds,orrs,str,lsrs,bgt.n,mov,vadd.f64,ldr
cmp,cmp,vmov,lsrs,str,orr.w,vmov,bge.n,vcmp.f64,vmov
bne.n,vmul.f64,cmp,lsls,str,strb.w,adds,adds,vmrs,movw
adds,bne.n,vdiv.f64,orrs.w,bl,ldr.w,cmp,mov,beq.w,movt
pop,vldmia,vcvt.f64.s32,it,push,lsrs,vcvt.f64.s32,adc.w,add.w,vmov.f32
subs,vmul.f64,vdiv.f64,bne.n,cmp,lsrs,vmul.f64,cmp,add.w,push
mov,vmul.f64,vcvt.f64.s32,cbnz,sub,lsrs,vdiv.f64,sbcs.w,vpop,sub
cmp,vstmia,vdiv.f64,cmp,ldrh.w,strb.w,vadd.f64,mov,pop,bic.w
bne.n,cmp,vcvt.f64.s32,it,ldrb.w,ldr,beq.n,mov,vadd.f64,cmp
adds,vmul.f64,vdiv.f64,bne.n,bgt.n,ldr.w,vsub.f64,mov,vcmpe.f64,ble.n
pop,bne.n,vcvt.f64.s32,rsbsne,ldr,strb,vabs.f64,bge.n,vmov.f64,cmp.w
subs,vldmia,vdiv.f64,it,subs,strb.w,vcmpe.f64,adds,vmrs,blt.n
mov,vmul.f64,vcvt.f64.s32,movcc,str,add.w,vmov.f64,mov,vsub.f64,beq.n
cmp,vmul.f64,vdiv.f64,b.n,ldr,cmp.w,vmrs,adc.w,vmov.f64,vsub.f32
bne.n,vstmia,vcvt.f64.s32,pop,str,bne.n,bgt.n,cmp,bmi.n,add
adds,cmp,vdiv.f64,bx,ldr,uxth,vmov,sbcs.w,vsub.f64,pop
pop,vmul.f64,vcvt.f64.s32,vmov.f64,str,lsrs,adds,mov,vabs.f64,lsrs
subs,bne.n,vadd.f64,mov,ldr,uxth,cmp,mov,vcmpe.f64,bic.w
mov,vldmia,vdiv.f64,bl,str,lsrs,vcvt.f64.s32,mov,vmov.f64,bic.w
cmp,vmul.f64,vsub.f64,vmov,ldr,mla,vmul.f64,bge.n,vmrs,vsub.f32
bne.n,vmul.f64,vadd.f64,push,str,mov.w,vdiv.f64,adds,ble.n,vmov.f32
adds,vstmia,vsub.f64,movs,str,mla,vadd.f64,mov,vdiv.f64,blx
pop,cmp,vadd.f64,movt,str,ldr.w,beq.n,adc.w,vadd.f64,add
subs,vmul.f64,vsub.f64,bic.w,bl,lsrs,vsub.f64,cmp,blx,add
mov,bne.n,vadd.f64,ubfx,push,uxth,vabs.f64,sbcs.w,add,ldr
cmp,vldr,vsub.f64,orrs,cmp,add.w,vcmpe.f64,mov,add,vmov
bne.n,vldr,beq.n,lsrs,sub,mla,vmov.f64,mov,ldr,movw
adds,vadd.f64,vsub.f64,lsls,ldrh.w,lsrs,vmrs,mov,vcmp.f64,movt
pop,vsub.f64,vabs.f64,orrs.w,ldrb.w,uxth,bgt.n,bge.n,push,vmov.f32
subs,vsub.f64,vcmpe.f64,it,bgt.n,mov.w,vmov,adds,vpush,push
mov,vstmia,vmov.f64,bne.n,ldr,mov.w,adds,mov,ldr,sub
cmp,cmp,vmrs,cbnz,subs,mla,cmp,adc.w,vmov.f64,bic.w
bne.n,vadd.f64,bgt.n,cmp,str,mov.w,vcvt.f64.s32,cmp,vmrs,cmp
