cmp,cmp,vmov,lsrs,str,orr.w,vmov,bge.n,vcmp.f64,vmov,vldr,lsr.w,adc.w,and.w,movt,mov.w
bne.n,vmul.f64,cmp,lsls,str,strb.w,adds,adds,vmrs,movw,vsub.f64,add,adds,and.w,mov.w,ite
adds,bne.n,vdiv.f64,orrs.w,bl,ldr.w,cmp,mov,beq.w,movt,vldr,b.n,adcs,and.w,str,mov
pop,vldmia,vcvt.f64.s32,it,push,lsrs,vcvt.f64.s32,adc.w,add.w,vmov.f32,vmov,cmp.w,cmp.w,eor.w,str,andseq.w
subs,vmul.f64,vdiv.f64,bne.n,cmp,lsrs,vmul.f64,cmp,add.w,push,ldr,bcc.n,bne.n,and.w,bpl.n,eorne.w
mov,vmul.f64,vcvt.f64.s32,cbnz,sub,lsrs,vdiv.f64,sbcs.w,vpop,sub,movw,cmp.w,eor.w,eor.w,lsls,bne.n
cmp,vstmia,vdiv.f64,cmp,ldrh.w,strb.w,vadd.f64,mov,pop,bic.w,movt,bcc.n,movs,and.w,bpl.n,eor.w
bne.n,cmp,vcvt.f64.s32,it,ldrb.w,ldr,beq.n,mov,vadd.f64,cmp,ldr,lsrs,adds,and.w,lsls,subs
adds,vmul.f64,vdiv.f64,bne.n,bgt.n,ldr.w,vsub.f64,mov,vcmpe.f64,ble.n,add,movs.w,mov,mov.w,bpl.n,tst.w
pop,bne.n,vcvt.f64.s32,rsbsne,ldr,strb,vabs.f64,bge.n,vmov.f64,cmp.w,vldr,mov.w,eor.w,and.w,lsls,mov.w
subs,vldmia,vdiv.f64,it,subs,strb.w,vcmpe.f64,adds,vmrs,blt.n,add,add.w,eor.w,orr.w,bpl.n,ite
mov,vmul.f64,vcvt.f64.s32,movcc,str,add.w,vmov.f64,mov,vsub.f64,beq.n,mov,mov.w,eor.w,eor.w,lsls,mov
cmp,vmul.f64,vdiv.f64,b.n,ldr,cmp.w,vmrs,adc.w,vmov.f64,vsub.f32,vadd.f64,cmn.w,eor.w,and.w,bpl.n,andseq.w
bne.n,vstmia,vcvt.f64.s32,pop,str,bne.n,bgt.n,cmp,bmi.n,add,vldr,bcs.w,adds,and.w,vldr,eorne.w
adds,cmp,vdiv.f64,bx,ldr,uxth,vmov,sbcs.w,vsub.f64,pop,vadd.f64,cmp.w,adc.w,eor.w,vldr,bne.n
pop,vmul.f64,vcvt.f64.s32,vmov.f64,str,lsrs,adds,mov,vabs.f64,lsrs,vldr,it,adds,eor.w,vdiv.f32,eor.w
subs,bne.n,vadd.f64,mov,ldr,uxth,cmp,mov,vcmpe.f64,bic.w,ubfx,adcs.w,adcs,and.w,vmrs,subs
mov,vldmia,vdiv.f64,bl,str,lsrs,vcvt.f64.s32,mov,vmov.f64,bic.w,sub.w,adceq.w,cmp.w,eors,movs,tst.w
cmp,vmul.f64,vsub.f64,vmov,ldr,mla,vmul.f64,bge.n,vmrs,vsub.f32,smull,orr.w,bne.n,eors,add,mov.w
bne.n,vmul.f64,vadd.f64,push,str,mov.w,vdiv.f64,adds,ble.n,vmov.f32,asrs,pop,eor.w,orr.w,bx,ite
adds,vstmia,vsub.f64,movs,str,mla,vadd.f64,mov,vdiv.f64,blx,ldrd,subs,movs,and.w,movs,moveq
pop,cmp,vadd.f64,movt,str,ldr.w,beq.n,adc.w,vadd.f64,add,vadd.f64,vmov,adds,eor.w,pop,ands.w
subs,vmul.f64,vsub.f64,bic.w,bl,lsrs,vsub.f64,cmp,blx,add,rsb,strd,mov,eor.w,vmov.f64,eorne.w
mov,bne.n,vadd.f64,ubfx,push,uxth,vabs.f64,sbcs.w,add,ldr,bic.w,vadd.f64,eor.w,orr.w,add,bne.n
cmp,vldr,vsub.f64,orrs,cmp,add.w,vcmpe.f64,mov,add,vmov,add.w,bne.n,eor.w,eors,vpop,eor.w
bne.n,vldr,beq.n,lsrs,sub,mla,vmov.f64,mov,ldr,movw,add.w,bl,eor.w,and.w,pop,subs
adds,vadd.f64,vsub.f64,lsls,ldrh.w,lsrs,vmrs,mov,vcmp.f64,movt,sub.w,push,eor.w,orr.w,vstr,tst.w
pop,vsub.f64,vabs.f64,orrs.w,ldrb.w,uxth,bgt.n,bge.n,push,vmov.f32,vmov,movw,adds,and.w,b.n,mov.w
subs,vsub.f64,vcmpe.f64,it,bgt.n,mov.w,vmov,adds,vpush,push,vadd.f64,movt,adc.w,orr.w,vpop,ite
mov,vstmia,vmov.f64,bne.n,ldr,mov.w,adds,mov,ldr,sub,vldr,movw,adds,orr.w,pop,moveq
cmp,cmp,vmrs,cbnz,subs,mla,cmp,adc.w,vmov.f64,bic.w,vsub.f64,movw,adcs,ldmia.w,vcvt.f64.s32,ands.w
bne.n,vadd.f64,bgt.n,cmp,str,mov.w,vcvt.f64.s32,cmp,vmrs,cmp,vadd.f64,movs,cmp.w,mov,vcmpe.f64,eorne.w
adds,bne.n,vmov,it,ldr,mov,vmul.f64,sbcs.w,add,ble.n,vldr,ldr,bne.n,ubfx,vmrs,bne.n
pop,vldr,adds,bne.n,str,add.w,vdiv.f64,mov,bls.n,cmp.w,vsub.f64,ldr,eor.w,bl,bgt.n,eor.w
